agency_name,separation,Trump_Separations
GS13-CIVILIAN BOARD OF CONTRACT APPEALS,Reduction In Force (RIF),0
GS14-OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER,Reduction In Force (RIF),0
GS15-OFFICE OF INSPECTOR GENERAL,Reduction In Force (RIF),0
GS18-TECHNOLOGY TRANSFORMATION SERVICE,Reduction In Force (RIF),0
GS19-OFFICE OF CITIZEN SERVICES AND INNOVATIVE TECHNOLOGIES,Reduction In Force (RIF),0
GS20-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,Reduction In Force (RIF),0
GS22-OFFICES OF THE REGIONAL ADMINISTRATORS,Reduction In Force (RIF),0
GS26-OFFICE OF GOVERNMENTWIDE POLICY,Reduction In Force (RIF),0
GS28-OFFICE OF GSA IT,Reduction In Force (RIF),0
GS30-FEDERAL ACQUISITION SERVICE,Reduction In Force (RIF),0
GS31-OFFICE OF EMERGENCY RESPONSE AND RECOVERY,Reduction In Force (RIF),0
GS32-OFFICE OF COMMUNICATIONS AND MARKETING,Reduction In Force (RIF),0
GS33-OFFICE OF THE CUSTOMER EXPERIENCE,Reduction In Force (RIF),0
GW00-INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,Reduction In Force (RIF),0
GX00-INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,Reduction In Force (RIF),0
GY00-INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,Reduction In Force (RIF),0
HB**-UNSPECIFIED,Reduction In Force (RIF),0
HB00-COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,Reduction In Force (RIF),0
HD00-U.S. HOLOCAUST MEMORIAL MUSEUM,Reduction In Force (RIF),0
HE10-OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,Reduction In Force (RIF),0
HE11-PROGRAM SUPPORT CENTER,Reduction In Force (RIF),0
HE12-ADMINISTRATION FOR COMMUNITY LIVING,Reduction In Force (RIF),0
HE13-OFFICE OF INSPECTOR GENERAL,Reduction In Force (RIF),0
HE31-OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,Reduction In Force (RIF),0
HE32-SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,Reduction In Force (RIF),0
HE33-AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,Reduction In Force (RIF),0
HE34-HEALTH RESOURCES AND SERVICES ADMINISTRATION,Reduction In Force (RIF),0
HE35-AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,Reduction In Force (RIF),0
HE36-FOOD AND DRUG ADMINISTRATION,Reduction In Force (RIF),0
HE37-INDIAN HEALTH SERVICE,Reduction In Force (RIF),12
HE38-NATIONAL INSTITUTES OF HEALTH,Reduction In Force (RIF),0
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTION,Reduction In Force (RIF),0
HE70-CENTERS FOR MEDICARE & MEDICAID SERVICES,Reduction In Force (RIF),0
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,Reduction In Force (RIF),0
HF**-UNSPECIFIED,Reduction In Force (RIF),0
HF00-FEDERAL HOUSING FINANCE AGENCY,Reduction In Force (RIF),0
HFHA-FEDERAL HOUSING FINANCE AGENCY,Reduction In Force (RIF),0
HFHI-OFFICE OF INSPECTOR GENERAL,Reduction In Force (RIF),0
HP00-ADVISORY COUNCIL ON HISTORIC PRESERVATION,Reduction In Force (RIF),0
HSAA-DHS HEADQUARTERS,Reduction In Force (RIF),0
HSAB-BUREAU OF CITIZENSHIP AND IMMIGRATION SERVICES,Reduction In Force (RIF),0
HSAC-U.S. COAST GUARD,Reduction In Force (RIF),0
HSAD-U.S. SECRET SERVICE,Reduction In Force (RIF),0
HSAE-OFFICE OF THE INSPECTOR GENERAL,Reduction In Force (RIF),0
HSBB-BUREAU OF IMMIGRATION AND CUSTOMS ENFORCEMENT,Reduction In Force (RIF),0
HSBC-TRANSPORTATION SECURITY ADMINISTRATION,Reduction In Force (RIF),2
HSBD-BUREAU OF CUSTOMS AND BORDER PROTECTION,Reduction In Force (RIF),0
HSBE-FEDERAL LAW ENFORCEMENT TRAINING CENTERS,Reduction In Force (RIF),0
HSCA-NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,Reduction In Force (RIF),0
HSCB-FEDERAL EMERGENCY MANAGEMENT AGENCY,Reduction In Force (RIF),0
HSDA-DOMESTIC NUCLEAR DETECTION OFFICE,Reduction In Force (RIF),0
HSFA-OFFICE OF THE UNDER SECRETARY FOR SCIENCE AND TECHNOLOGY,Reduction In Force (RIF),0
HT00-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,Reduction In Force (RIF),0
HU**-UNSPECIFIED,Reduction In Force (RIF),0
HU01-OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND,Reduction In Force (RIF),0
HU02-OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY,Reduction In Force (RIF),0
HU03-OFFICE OF THE SENIOR COORDINATOR FOR MID-ATLANTIC,Reduction In Force (RIF),0
HU04-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN,Reduction In Force (RIF),0
HU05-OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST,Reduction In Force (RIF),0
HU06-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST,Reduction In Force (RIF),0
HU07-OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS,Reduction In Force (RIF),0
HU08-OFFICE OF THE SENIOR COORDINATOR FOR ROCKY MOUNTAINS,Reduction In Force (RIF),0
HU09-OFFICE OF THE SENIOR COORDINATOR FOR PACIFIC/HAWAII,Reduction In Force (RIF),0
HU10-OFFICE OF THE SENIOR COORDINATOR FOR NORTHWEST/ALASKA,Reduction In Force (RIF),0
HUAA-OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT,Reduction In Force (RIF),0
HUBB-OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER,Reduction In Force (RIF),0
HUCC-OFFICE OF GENERAL COUNSEL,Reduction In Force (RIF),0
HUDD-ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,Reduction In Force (RIF),0
HUEE-ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY,Reduction In Force (RIF),0
HUFF-OFFICE OF THE CHIEF FINANCIAL OFFICER,Reduction In Force (RIF),0
HUGG-OFFICE OF INSPECTOR GENERAL,Reduction In Force (RIF),0
HUII-OFFICE OF DEPARTMENTAL OPERATIONS AND COORDINATION,Reduction In Force (RIF),0
HUJJ-ASSISTANT SECRETARY FOR CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS,Reduction In Force (RIF),0
HUKA-CENTER FOR FAITH-BASED AND COMMUNITY INITIATIVES,Reduction In Force (RIF),0
HUKK-OFFICE OF FIELD POLICY AND MANAGEMENT,Reduction In Force (RIF),0
HULL-OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL,Reduction In Force (RIF),0
HUMM-ASSISTANT SECRETARY FOR HOUSING--FEDERAL HOUSING COMMISSIONER,Reduction In Force (RIF),0
HUNN-OFFICE OF THE CHIEF PROCUREMENT OFFICER,Reduction In Force (RIF),0
HUPP-ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,Reduction In Force (RIF),0
HUQQ-OFFICE OF THE CHIEF INFORMATION OFFICER,Reduction In Force (RIF),0
HURR-ASSISTANT SECRETARY FOR POLICY DEVELOPMENT AND RESEARCH,Reduction In Force (RIF),0
HUTT-GOVERNMENT NATIONAL MORTGAGE ASSOCIATION (GINNIE MAE),Reduction In Force (RIF),0
HUUU-OFFICE OF DEPARTMENTAL EQUAL EMPLOYMENT OPPORTUNITY,Reduction In Force (RIF),0
HUWW-ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,Reduction In Force (RIF),0
HUXX-OFFICE OF STRATEGIC PLANNING AND MANAGEMENT,Reduction In Force (RIF),0
HUYY-OFFICE OF SUSTAINABLE HOUSING AND COMMUNTIES,Reduction In Force (RIF),0
HW00-U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,Reduction In Force (RIF),0
IB00-BROADCASTING BOARD OF GOVERNORS,Reduction In Force (RIF),0
IF00-INTER-AMERICAN FOUNDATION,Reduction In Force (RIF),0
IG00-COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,Reduction In Force (RIF),0
IN01-OFFICE OF THE SECRETARY OF THE INTERIOR,Reduction In Force (RIF),0
IN05-BUREAU OF LAND MANAGEMENT,Reduction In Force (RIF),0
IN06-INDIAN AFFAIRS,Reduction In Force (RIF),1
IN07-BUREAU OF RECLAMATION,Reduction In Force (RIF),0
IN08-GEOLOGICAL SURVEY,Reduction In Force (RIF),2
IN10-NATIONAL PARK SERVICE,Reduction In Force (RIF),0
IN15-U.S. FISH AND WILDLIFE SERVICE,Reduction In Force (RIF),0
IN21-OFFICE OF THE SOLICITOR,Reduction In Force (RIF),0
"IN22-OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",Reduction In Force (RIF),0
"IN23-BUREAU OF OCEAN ENERGY MANAGEMENT, REGULATION, AND ENFORCEMENT",Reduction In Force (RIF),0
IN24-OFFICE OF THE INSPECTOR GENERAL,Reduction In Force (RIF),0
IN26-BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,Reduction In Force (RIF),0
IN27-BUREAU OF OCEAN ENERGY MANAGEMENT,Reduction In Force (RIF),0
JL03-U.S. TAX COURT,Reduction In Force (RIF),0
KS00-CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Reduction In Force (RIF),0
LF00-FEDERAL ELECTION COMMISSION,Reduction In Force (RIF),0
LP00-GOVERNMENT PRINTING OFFICE,Reduction In Force (RIF),0
LT00-U.S. TAX COURT,Reduction In Force (RIF),0
MA00-MARINE MAMMAL COMMISSION,Reduction In Force (RIF),0
MC00-FEDERAL MARITIME COMMISSION,Reduction In Force (RIF),0
MI00-MILLENNIUM CHALLENGE CORPORATION,Reduction In Force (RIF),0
NF00-NATIONAL SCIENCE FOUNDATION,Reduction In Force (RIF),1
NK00-NATIONAL COUNCIL ON DISABILITY,Reduction In Force (RIF),0
NL00-NATIONAL LABOR RELATIONS BOARD,Reduction In Force (RIF),0
NM00-NATIONAL MEDIATION BOARD,Reduction In Force (RIF),0
"NN10-HEADQUARTERS, NASA",Reduction In Force (RIF),0
NN21-AMES RESEARCH CENTER,Reduction In Force (RIF),0
NN22-JOHN GLENN RESEARCH CENTER AT LEWIS FIELD,Reduction In Force (RIF),0
NN23-LANGLEY RESEARCH CENTER,Reduction In Force (RIF),0
NN24-DRYDEN FLIGHT RESEARCH CENTER,Reduction In Force (RIF),0
NN51-GODDARD SPACE FLIGHT CENTER,Reduction In Force (RIF),0
NN62-GEORGE C. MARSHALL SPACE FLIGHT CENTER,Reduction In Force (RIF),0
NN64-JOHN C. STENNIS SPACE CENTER,Reduction In Force (RIF),0
NN72-LYNDON B. JOHNSON SPACE CENTER,Reduction In Force (RIF),0
NN76-JOHN F. KENNEDY SPACE CENTER,Reduction In Force (RIF),0
NP00-NATIONAL CAPITAL PLANNING COMMISSION,Reduction In Force (RIF),0
NQ00-NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,Reduction In Force (RIF),0
NS00-NATIONAL SECURITY COUNCIL,Reduction In Force (RIF),0
NU00-NUCLEAR REGULATORY COMMISSION,Reduction In Force (RIF),0
NV11-IMMEDIATE OFFICE OF THE CHIEF OF NAVAL OPERATIONS,Reduction In Force (RIF),0
"NV12-ASSISTANT FOR ADMINISTRATION, UNDER SECRETARY OF THE NAVY",Reduction In Force (RIF),0
NV14-OFFICE OF NAVAL RESEARCH,Reduction In Force (RIF),0
NV15-NAVAL INTELLIGENCE COMMAND,Reduction In Force (RIF),0
NV18-NAVAL MEDICAL COMMAND,Reduction In Force (RIF),0
NV19-NAVAL AIR SYSTEMS COMMAND,Reduction In Force (RIF),0
NV22-BUREAU OF NAVAL PERSONNEL,Reduction In Force (RIF),0
NV23-NAVAL SUPPLY SYSTEMS COMMAND,Reduction In Force (RIF),0
NV24-NAVAL SEA SYSTEMS COMMAND,Reduction In Force (RIF),0
NV25-NAVAL FACILITIES ENGINEERING COMMAND,Reduction In Force (RIF),0
NV27-U.S. MARINE CORPS,Reduction In Force (RIF),0
NV30-STRATEGIC SYSTEMS PROGRAMS OFFICE,Reduction In Force (RIF),0
NV33-MILITARY SEALIFT COMMAND,Reduction In Force (RIF),0
NV39-SPACE AND NAVAL WARFARE SYSTEMS COMMAND,Reduction In Force (RIF),0
NV41-NAVY SYSTEMS MANAGEMENT ACTIVITY,Reduction In Force (RIF),0
"NV52-COMMANDER, NAVY INSTALLATIONS",Reduction In Force (RIF),0
"NV60-U.S. ATLANTIC FLEET, COMMANDER IN CHIEF",Reduction In Force (RIF),0
"NV70-U.S. PACIFIC FLEET, COMMANDER IN CHIEF",Reduction In Force (RIF),0
NV72-NAVAL RESERVE FORCE,Reduction In Force (RIF),0
NV74-NAVAL SPECIAL WARFARE COMMAND,Reduction In Force (RIF),0
NV76-NAVAL EDUCATION AND TRAINING COMMAND,Reduction In Force (RIF),0
OM00-OFFICE OF PERSONNEL MANAGEMENT,Reduction In Force (RIF),0
OS00-OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,Reduction In Force (RIF),0
PU00-PEACE CORPS,Reduction In Force (RIF),0
QQ00-OFFICE OF NATIONAL DRUG CONTROL POLICY,Reduction In Force (RIF),0
RE00-OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,Reduction In Force (RIF),0
RF00-FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,Reduction In Force (RIF),0
RH00-ARMED FORCES RETIREMENT HOME,Reduction In Force (RIF),0
RO**-UNSPECIFIED,Reduction In Force (RIF),0
RO00-MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,Reduction In Force (RIF),0
RR00-RAILROAD RETIREMENT BOARD,Reduction In Force (RIF),0
RS00-FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,Reduction In Force (RIF),0
RZ00-RECOVERY ACT ACCOUNTABILITY & TRANSPARENCY BOARD,Reduction In Force (RIF),0
SB00-SMALL BUSINESS ADMINISTRATION,Reduction In Force (RIF),0
SE00-SECURITIES AND EXCHANGE COMMISSION,Reduction In Force (RIF),0
SK00-CONSUMER PRODUCT SAFETY COMMISSION,Reduction In Force (RIF),0
SM01-NATIONAL GALLERY OF ART,Reduction In Force (RIF),0
SM02-WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS,Reduction In Force (RIF),0
SM03-SMITHSONIAN INSTITUTION (EXCEPT UNITS ADMINISTERED UNDER SEPARATE BOARDS OF TRUSTEES),Reduction In Force (RIF),0
SM04-JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,Reduction In Force (RIF),0
SS00-SELECTIVE SERVICE SYSTEM,Reduction In Force (RIF),0
ST00-DEPARTMENT OF STATE,Reduction In Force (RIF),0
SZ00-SOCIAL SECURITY ADMINISTRATION,Reduction In Force (RIF),0
TB00-NATIONAL TRANSPORTATION SAFETY BOARD,Reduction In Force (RIF),0
TC00-U.S. INTERNATIONAL TRADE COMMISSION,Reduction In Force (RIF),0
TD01-OFFICE OF THE SECRETARY OF TRANSPORTATION,Reduction In Force (RIF),0
TD03-FEDERAL AVIATION ADMINISTRATION,Reduction In Force (RIF),0
TD04-FEDERAL HIGHWAY ADMINISTRATION,Reduction In Force (RIF),0
TD05-FEDERAL RAILROAD ADMINISTRATION,Reduction In Force (RIF),0
TD06-SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION,Reduction In Force (RIF),0
TD09-FEDERAL TRANSIT ADMINISTRATION,Reduction In Force (RIF),0
TD10-NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Reduction In Force (RIF),0
"TD11-OFFICE OF THE SECRETARY, RESEARCH AND TECHNOLOGY",Reduction In Force (RIF),0
TD12-OFFICE OF INSPECTOR GENERAL,Reduction In Force (RIF),0
TD13-MARITIME ADMINISTRATION,Reduction In Force (RIF),0
TD15-SURFACE TRANSPORTATION BOARD,Reduction In Force (RIF),0
TD16-PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Reduction In Force (RIF),0
TD17-FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Reduction In Force (RIF),0
TN00-OFFICE OF THE U.S. TRADE REPRESENTATIVE,Reduction In Force (RIF),0
TR35-OFFICE OF THRIFT SUPERVISION,Reduction In Force (RIF),0
TR36-SPECIAL INSPECTOR GENERAL FOR THE TROUBLED ASSETS RELIEF PROGRAM (TARP),Reduction In Force (RIF),0
TR40-ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,Reduction In Force (RIF),0
TR91-DEPARTMENTAL OFFICES,Reduction In Force (RIF),0
TR93-INTERNAL REVENUE SERVICE,Reduction In Force (RIF),0
TR95-OFFICE OF INSPECTOR GENERAL,Reduction In Force (RIF),0
TRAA-FINANCIAL MANAGEMENT SERVICE,Reduction In Force (RIF),0
TRAB-BUREAU OF THE PUBLIC DEBT,Reduction In Force (RIF),0
TRAD-U.S. MINT,Reduction In Force (RIF),0
TRAF-FINANCIAL CRIMES ENFORCEMENT NETWORK,Reduction In Force (RIF),0
TRAI-BUREAU OF ENGRAVING AND PRINTING,Reduction In Force (RIF),0
TRAJ-OFFICE OF THE COMPTROLLER OF THE CURRENCY,Reduction In Force (RIF),0
TRFD-BUREAU OF THE FISCAL SERVICE,Reduction In Force (RIF),0
TRTG-OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION,Reduction In Force (RIF),0
TS00-OFFICE OF SCIENCE AND TECHNOLOGY POLICY,Reduction In Force (RIF),0
UJ00-JAPAN-UNITED STATES FRIENDSHIP COMMISSION,Reduction In Force (RIF),0
UT00-UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION,Reduction In Force (RIF),0
VA**-UNSPECIFIED,Reduction In Force (RIF),0
VAAA-OFFICE OF THE SECRETARY,Reduction In Force (RIF),0
VAAD-BOARD OF VETERANS APPEALS,Reduction In Force (RIF),0
VAAE-GENERAL COUNSEL,Reduction In Force (RIF),0
VAAF-INSPECTOR GENERAL,Reduction In Force (RIF),0
VAAG-MY VA INITIATIVE,Reduction In Force (RIF),0
VABA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR HUMAN RESOURCES AND ADMINISTRATION,Reduction In Force (RIF),0
VABC-ASSISTANT SECRETARY FOR HUMAN RESOURCES MANAGEMENT,Reduction In Force (RIF),0
VABD-ASSISTANT SECRETARY FOR DIVERSITY & INCLUSION,Reduction In Force (RIF),0
VABE-DEPUTY ASSISTANT SECRETARY FOR ADMINISTRATION,Reduction In Force (RIF),0
VABF-DEPUTY ASSISTANT SECRETARY FOR OFFICE OF RESOLUTION MANAGEMENT,Reduction In Force (RIF),0
VABG-DEPUTY ASSISTANT SECRETARY FOR CORPORATE SENIOR EXECUTIVE MANAGEMENT,Reduction In Force (RIF),0
VABH-DEPUTY ASSISTANT SECRETARY FOR LABOR MANAGEMENT RELATIONS,Reduction In Force (RIF),0
VABI-DEAN FOR VA LEARNING UNIVERSITY,Reduction In Force (RIF),0
VABJ-VETERAN EMPLOYMENT SERVICES OFFICE,Reduction In Force (RIF),0
VABK-OFFICE OF ENTERPRISE OPERATIONS,Reduction In Force (RIF),0
VADA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR MANAGEMENT,Reduction In Force (RIF),0
VADC-DEPUTY ASSISTANT SECRETARY FOR BUDGET,Reduction In Force (RIF),0
VADD-DEPUTY ASSISTANT SECRETARY FOR FINANCE,Reduction In Force (RIF),0
VADG-DEPUTY ASSISTANT SECRETARY FOR ACQUISITION AND MATERIEL MANAGEMENT,Reduction In Force (RIF),0
VAEA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY,Reduction In Force (RIF),0
VAEB-DEPUTY ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY,Reduction In Force (RIF),0
"VAGA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR OPERATIONS, SECURITY, AND PREPAREDNESS",Reduction In Force (RIF),0
VAGB-DEPUTY ASSISTANT SECRETARY FOR SECURITY AND LAW ENFORCEMENT,Reduction In Force (RIF),0
VAGC-DEPUTY ASSISTANT SECRETARY FOR EMERGENCY MANAGEMENT,Reduction In Force (RIF),0
VAHA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR POLICY AND PLANNING,Reduction In Force (RIF),0
VAHB-DEPUTY ASSISTANT SECRETARY FOR PROGRAM AND DATA ANALYSIS,Reduction In Force (RIF),0
VAHC-DEPUTY ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,Reduction In Force (RIF),0
VAHD-NATIONAL CENTER FOR VETERAN ANALYSIS AND STATISTICS,Reduction In Force (RIF),0
VAHG-VET CUSTOMER EXPER (VCE),Reduction In Force (RIF),0
VAJA-OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AND INTERGOVERNMENTAL AFFAIRS,Reduction In Force (RIF),0
VAJB-DEPUTY ASSISTANCE SECRETARY FOR INTERGOVERNMENTAL AFFAIRS,Reduction In Force (RIF),0
VAJC-DEPUTY ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,Reduction In Force (RIF),0
VAKA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR CONGRESSIONAL AND LEGISLATIVE AFFAIRS,Reduction In Force (RIF),0
VAKB-DEPUTY ASSISTANT SECRETARY FOR CONGRESSIONAL AFFAIRS,Reduction In Force (RIF),0
VALA-VETERANS BENEFITS ADMINISTRATION,Reduction In Force (RIF),0
VAPA-NATIONAL CEMETERY ADMINISTRATION,Reduction In Force (RIF),0
VATA-VETERANS HEALTH ADMINISTRATION,Reduction In Force (RIF),0
VB00-COMMISSION TO ELIMINATE CHILD ABUSE AND NEGLECT FATALITIES,Reduction In Force (RIF),0
VD00-PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,Reduction In Force (RIF),0
WX00-WORLD WAR 1 CENTENNIAL COMMISSION,Reduction In Force (RIF),0
YF00-FINANCIAL CRISIS INQUIRY COMMISSION,Reduction In Force (RIF),0
YG00-RONALD REAGAN CENTENNIAL COMMISSION,Reduction In Force (RIF),0
ZL**-UNSPECIFIED,Reduction In Force (RIF),0
ZL00-MEDICARE PAYMENT ADVISORY COMMISSION,Reduction In Force (RIF),0
ZP00-U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM,Reduction In Force (RIF),0
ZS00-UNITED STATES-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,Reduction In Force (RIF),0
ZU00-DWIGHT D. EISENHOWER MEMORIAL COMMISSION,Reduction In Force (RIF),0
AA00-ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,Termination,0
AB**-UNSPECIFIED,Termination,0
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,Termination,0
AF**-UNSPECIFIED,Termination,0
AF02-AIR FORCE INSPECTION AGENCY (FO),Termination,0
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,Termination,0
AF04-AIR FORCE COMMUNICATIONS AGENCY,Termination,0
AF05-AIR FORCE INTELLIGENCE ANALYSIS AGENCY,Termination,0
AF06-AIR FORCE AUDIT AGENCY,Termination,0
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,Termination,0
AF08-AIR FORCE OFFICE OF SECURITY POLICE,Termination,0
AF09-AIR FORCE PERSONNEL CENTER,Termination,0
AF0B-U.S. AIR FORCE ACADEMY,Termination,2
"AF0D-U.S. AIR FORCES, EUROPE",Termination,3
AF0J-AIR EDUCATION AND TRAINING COMMAND,Termination,32
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",Termination,61
"AF0N-HEADQUARTERS, U.S. AIR FORCE",Termination,0
AF0R-PACIFIC AIR FORCES,Termination,10
AF0U-25 AF,Termination,0
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,Termination,1
AF11-AIR FORCE MANPOWER AGENCY,Termination,0
AF12-AIR FORCE PUBLIC AFFAIRS AGENCY,Termination,0
AF13-HQ USAF AND SUPPORT ELEMENTS,Termination,1
AF14-AIR FORCE INSTALLATION CONTRACTING AGENCY,Termination,0
AF15-AIR FORCE CIVIL ENGINEER CENTER,Termination,0
AF16-AIR FORCE MORTUARY AFFAIRS OPERATIONS,Termination,0
AF17-AF INSTALLATION AND MISSION SUPPORT,Termination,2
AF1B-AIR FORCE MANPOWER ANALYSIS AGENCY,Termination,0
AF1C-AIR COMBAT COMMAND,Termination,14
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,Termination,0
AF1L-AIR MOBILITY COMMAND,Termination,15
AF1M-AIR FORCE MATERIEL COMMAND,Termination,115
AF1P-AIR FORCE REAL PROPERTY AGENCY,Termination,0
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,Termination,0
"AF1S-HEADQUARTERS, AIR FORCE SPACE COMMAND",Termination,11
AF1W-AIR FORCE ENGINEERING AND SERVICES CENTER,Termination,0
AF1Y-AIR FORCE CIVILIAN CAREER TRAINING,Termination,15
AF20-AIR FORCE AGENCY FOR MODELING/SIMULATION,Termination,0
AF24-HQ USAF DIRECT SUPPORT ELEMENT,Termination,0
AF25-AF-WIDE SUPPORT ELEMENT,Termination,0
AF2A-AIR FORCE COST ANALYSIS AGENCY,Termination,0
AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,Termination,0
AF2E-AIR FORCE LEGAL OPERATIONS AGENCY,Termination,0
AF2F-AIR FORCE MEDICAL SERVICES CENTER,Termination,0
AF2H-AIR FORCE COMBAT OPERATIONS STAFF,Termination,0
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,Termination,1
AF2K-AIR FORCE HISTORICAL RESEARCH AGENCY,Termination,0
AF2L-AIR FORCE TECHNICAL APPLICATIONS CENTER,Termination,1
AF2M-AIR FORCE REVIEW BOARDS AGENCY,Termination,0
AF2Q-AIR WEATHER SERVICE,Termination,0
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,Termination,0
AF2S-AIR FORCE ELEMENTS NORAD,Termination,1
AF2T-AIR FORCE SAFETY CENTER,Termination,0
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",Termination,0
AF2Z-AIR FORCE MEDICAL OPERATIONS AGENCY,Termination,0
AF34-AIR NATIONAL GUARD,Termination,0
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",Termination,0
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",Termination,0
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",Termination,0
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",Termination,1
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",Termination,1
AF3V-AIR FORCE ELEMENTS,Termination,0
AF3W-AIR FORCE CENTER FOR ENGINEER & ENVIRONMENT,Termination,0
AF40-NATIONAL AIR AND SPACE INTELLIGENCE CENTER,Termination,1
"AF4D-AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND",Termination,0
AF4V-NON-DOD AND OTHER SUPPORT,Termination,0
AF4W-AIR FORCE DISTRICT OF WASHINGTON,Termination,2
AF5J-AIR FORCE FINANCIAL SERVICES,Termination,0
AF5K-AIR FORCE PETROLEUM AGENCY,Termination,0
AFGS-AIR FORCE GLOBAL STRIKE COMMAND,Termination,5
